orig_name,dest_name,card_fare
Brooklyn,Carterton/South Wairarapa,
Brooklyn,Eastern Bays,11.34
Brooklyn,Epuni/Avalon,9.78
Brooklyn,Hataitai,8.22
Brooklyn,Heretaunga/Silverstream,12.91
Brooklyn,Hutt Central/Waterloo,7.04
Brooklyn,Island Bay/Melrose,4.3
Brooklyn,Johnsonville/Newlands,6.65
Brooklyn,Karori,3.91
Brooklyn,Karori South/Makara,5.48
Brooklyn,Kelburn/Aro Valley,2.74
Brooklyn,Khandallah,5.48
Brooklyn,Kilbirnie/Lyall Bay,1.56
Brooklyn,Kingston/Happy Valley,1.56
Brooklyn,Lambton,2.74
Brooklyn,Masterton,
Brooklyn,Miramar/Strathmore,2.74
Brooklyn,Moera/Waiwhetu,7.04
Brooklyn,Mt Cook,1.56
Brooklyn,Mt Victoria/Roseneath,2.74
Brooklyn,Ngaio/Kaiwharawhara/Wilton,6.65
Brooklyn,Northland,5.48
Brooklyn,Oriental Bay/Seatoun,2.74
Brooklyn,Papakowhai/Whitby/Pauatahanui,10.56
Brooklyn,Paramata/Mana/Pukerua Bay,9.0
Brooklyn,Paraparaumu/Raumati,13.3
Brooklyn,Petone West/Alicetown,7.04
Brooklyn,Petone/Esplanade,7.04
Brooklyn,Porirua East/Waitangirua,9.39
Brooklyn,Stokes Valley,10.95
Brooklyn,Taita/Naenae,9.78
Brooklyn,Tawa/Grenada North,7.04
Brooklyn,Te Aro,2.74
Brooklyn,Titahi Bay/Onepoto/Elsdon,10.56
Brooklyn,Totara Park/Maoribank/Te Marua,11.34
Brooklyn,Trentham North/Wallaceville,11.34
Brooklyn,Trentham West/Eldersley/Clouston Park,9.78
Brooklyn,Vogeltown/Berhampore/Newtown,1.56
Brooklyn,Wadestown/Thordon,4.3
Brooklyn,Waikanae/Otaki,
Brooklyn,Wainuiomata,9.78
Brooklyn,Western Hills/Haywards,7.04
Carterton/South Wairarapa,Brooklyn,
Carterton/South Wairarapa,Eastern Bays,
Carterton/South Wairarapa,Epuni/Avalon,
Carterton/South Wairarapa,Hataitai,
Carterton/South Wairarapa,Heretaunga/Silverstream,
Carterton/South Wairarapa,Hutt Central/Waterloo,
Carterton/South Wairarapa,Island Bay/Melrose,
Carterton/South Wairarapa,Johnsonville/Newlands,
Carterton/South Wairarapa,Karori,
Carterton/South Wairarapa,Karori South/Makara,
Carterton/South Wairarapa,Kelburn/Aro Valley,
Carterton/South Wairarapa,Khandallah,
Carterton/South Wairarapa,Kilbirnie/Lyall Bay,
Carterton/South Wairarapa,Kingston/Happy Valley,
Carterton/South Wairarapa,Lambton,
Carterton/South Wairarapa,Masterton,
Carterton/South Wairarapa,Miramar/Strathmore,
Carterton/South Wairarapa,Moera/Waiwhetu,
Carterton/South Wairarapa,Mt Cook,
Carterton/South Wairarapa,Mt Victoria/Roseneath,
Carterton/South Wairarapa,Ngaio/Kaiwharawhara/Wilton,
Carterton/South Wairarapa,Northland,
Carterton/South Wairarapa,Oriental Bay/Seatoun,
Carterton/South Wairarapa,Papakowhai/Whitby/Pauatahanui,
Carterton/South Wairarapa,Paramata/Mana/Pukerua Bay,
Carterton/South Wairarapa,Paraparaumu/Raumati,
Carterton/South Wairarapa,Petone West/Alicetown,
Carterton/South Wairarapa,Petone/Esplanade,
Carterton/South Wairarapa,Porirua East/Waitangirua,
Carterton/South Wairarapa,Stokes Valley,
Carterton/South Wairarapa,Taita/Naenae,
Carterton/South Wairarapa,Tawa/Grenada North,
Carterton/South Wairarapa,Te Aro,
Carterton/South Wairarapa,Titahi Bay/Onepoto/Elsdon,
Carterton/South Wairarapa,Totara Park/Maoribank/Te Marua,
Carterton/South Wairarapa,Trentham North/Wallaceville,
Carterton/South Wairarapa,Trentham West/Eldersley/Clouston Park,
Carterton/South Wairarapa,Vogeltown/Berhampore/Newtown,
Carterton/South Wairarapa,Wadestown/Thordon,
Carterton/South Wairarapa,Waikanae/Otaki,
Carterton/South Wairarapa,Wainuiomata,
Carterton/South Wairarapa,Western Hills/Haywards,
Eastern Bays,Brooklyn,11.34
Eastern Bays,Carterton/South Wairarapa,
Eastern Bays,Epuni/Avalon,9.39
Eastern Bays,Hataitai,11.34
Eastern Bays,Heretaunga/Silverstream,7.82
Eastern Bays,Hutt Central/Waterloo,9.39
Eastern Bays,Island Bay/Melrose,12.52
Eastern Bays,Johnsonville/Newlands,7.43
Eastern Bays,Karori,12.52
Eastern Bays,Karori South/Makara,11.34
Eastern Bays,Kelburn/Aro Valley,8.61
Eastern Bays,Khandallah,12.52
Eastern Bays,Kilbirnie/Lyall Bay,14.08
Eastern Bays,Kingston/Happy Valley,11.34
Eastern Bays,Lambton,8.61
Eastern Bays,Masterton,
Eastern Bays,Miramar/Strathmore,8.61
Eastern Bays,Moera/Waiwhetu,5.48
Eastern Bays,Mt Cook,11.34
Eastern Bays,Mt Victoria/Roseneath,10.17
Eastern Bays,Ngaio/Kaiwharawhara/Wilton,12.52
Eastern Bays,Northland,11.34
Eastern Bays,Oriental Bay/Seatoun,8.61
Eastern Bays,Papakowhai/Whitby/Pauatahanui,11.34
Eastern Bays,Paramata/Mana/Pukerua Bay,14.87
Eastern Bays,Paraparaumu/Raumati,19.17
Eastern Bays,Petone West/Alicetown,3.91
Eastern Bays,Petone/Esplanade,3.91
Eastern Bays,Porirua East/Waitangirua,15.26
Eastern Bays,Stokes Valley,7.82
Eastern Bays,Taita/Naenae,6.65
Eastern Bays,Tawa/Grenada North,12.91
Eastern Bays,Te Aro,10.17
Eastern Bays,Titahi Bay/Onepoto/Elsdon,12.91
Eastern Bays,Totara Park/Maoribank/Te Marua,8.22
Eastern Bays,Trentham North/Wallaceville,8.22
Eastern Bays,Trentham West/Eldersley/Clouston Park,8.22
Eastern Bays,Vogeltown/Berhampore/Newtown,11.34
Eastern Bays,Wadestown/Thordon,6.26
Eastern Bays,Waikanae/Otaki,
Eastern Bays,Wainuiomata,6.65
Eastern Bays,Western Hills/Haywards,5.48
Epuni/Avalon,Brooklyn,9.78
Epuni/Avalon,Carterton/South Wairarapa,
Epuni/Avalon,Eastern Bays,6.65
Epuni/Avalon,Hataitai,9.78
Epuni/Avalon,Heretaunga/Silverstream,2.74
Epuni/Avalon,Hutt Central/Waterloo,2.74
Epuni/Avalon,Island Bay/Melrose,9.0
Epuni/Avalon,Johnsonville/Newlands,10.17
Epuni/Avalon,Karori,10.95
Epuni/Avalon,Karori South/Makara,11.34
Epuni/Avalon,Kelburn/Aro Valley,7.82
Epuni/Avalon,Khandallah,10.95
Epuni/Avalon,Kilbirnie/Lyall Bay,9.78
Epuni/Avalon,Kingston/Happy Valley,7.82
Epuni/Avalon,Lambton,8.61
Epuni/Avalon,Masterton,
Epuni/Avalon,Miramar/Strathmore,11.34
Epuni/Avalon,Moera/Waiwhetu,2.74
Epuni/Avalon,Mt Cook,9.78
Epuni/Avalon,Mt Victoria/Roseneath,8.61
Epuni/Avalon,Ngaio/Kaiwharawhara/Wilton,10.95
Epuni/Avalon,Northland,9.78
Epuni/Avalon,Oriental Bay/Seatoun,11.34
Epuni/Avalon,Papakowhai/Whitby/Pauatahanui,7.04
Epuni/Avalon,Paramata/Mana/Pukerua Bay,13.3
Epuni/Avalon,Paraparaumu/Raumati,17.6
Epuni/Avalon,Petone West/Alicetown,2.74
Epuni/Avalon,Petone/Esplanade,2.74
Epuni/Avalon,Porirua East/Waitangirua,7.43
Epuni/Avalon,Stokes Valley,2.74
Epuni/Avalon,Taita/Naenae,1.56
Epuni/Avalon,Tawa/Grenada North,11.34
Epuni/Avalon,Te Aro,8.61
Epuni/Avalon,Titahi Bay/Onepoto/Elsdon,8.61
Epuni/Avalon,Totara Park/Maoribank/Te Marua,3.91
Epuni/Avalon,Trentham North/Wallaceville,3.91
Epuni/Avalon,Trentham West/Eldersley/Clouston Park,3.91
Epuni/Avalon,Vogeltown/Berhampore/Newtown,9.78
Epuni/Avalon,Wadestown/Thordon,7.04
Epuni/Avalon,Waikanae/Otaki,
Epuni/Avalon,Wainuiomata,5.48
Epuni/Avalon,Western Hills/Haywards,4.3
Hataitai,Brooklyn,8.22
Hataitai,Carterton/South Wairarapa,
Hataitai,Eastern Bays,11.34
Hataitai,Epuni/Avalon,9.39
Hataitai,Heretaunga/Silverstream,9.0
Hataitai,Hutt Central/Waterloo,7.04
Hataitai,Island Bay/Melrose,4.3
Hataitai,Johnsonville/Newlands,6.65
Hataitai,Karori,6.65
Hataitai,Karori South/Makara,12.13
Hataitai,Kelburn/Aro Valley,2.74
Hataitai,Khandallah,9.39
Hataitai,Kilbirnie/Lyall Bay,4.69
Hataitai,Kingston/Happy Valley,5.48
Hataitai,Lambton,2.74
Hataitai,Masterton,
Hataitai,Miramar/Strathmore,2.74
Hataitai,Moera/Waiwhetu,7.04
Hataitai,Mt Cook,5.48
Hataitai,Mt Victoria/Roseneath,1.56
Hataitai,Ngaio/Kaiwharawhara/Wilton,9.39
Hataitai,Northland,5.48
Hataitai,Oriental Bay/Seatoun,2.74
Hataitai,Papakowhai/Whitby/Pauatahanui,10.56
Hataitai,Paramata/Mana/Pukerua Bay,9.0
Hataitai,Paraparaumu/Raumati,13.3
Hataitai,Petone West/Alicetown,7.04
Hataitai,Petone/Esplanade,7.04
Hataitai,Porirua East/Waitangirua,9.39
Hataitai,Stokes Valley,10.56
Hataitai,Taita/Naenae,7.82
Hataitai,Tawa/Grenada North,7.04
Hataitai,Te Aro,5.48
Hataitai,Titahi Bay/Onepoto/Elsdon,10.56
Hataitai,Totara Park/Maoribank/Te Marua,11.34
Hataitai,Trentham North/Wallaceville,9.78
Hataitai,Trentham West/Eldersley/Clouston Park,9.78
Hataitai,Vogeltown/Berhampore/Newtown,1.56
Hataitai,Wadestown/Thordon,2.74
Hataitai,Waikanae/Otaki,
Hataitai,Wainuiomata,9.78
Hataitai,Western Hills/Haywards,7.04
Heretaunga/Silverstream,Brooklyn,9.0
Heretaunga/Silverstream,Carterton/South Wairarapa,
Heretaunga/Silverstream,Eastern Bays,7.82
Heretaunga/Silverstream,Epuni/Avalon,2.74
Heretaunga/Silverstream,Hataitai,9.0
Heretaunga/Silverstream,Hutt Central/Waterloo,3.91
Heretaunga/Silverstream,Island Bay/Melrose,10.17
Heretaunga/Silverstream,Johnsonville/Newlands,11.74
Heretaunga/Silverstream,Karori,10.17
Heretaunga/Silverstream,Karori South/Makara,10.56
Heretaunga/Silverstream,Kelburn/Aro Valley,9.0
Heretaunga/Silverstream,Khandallah,10.17
Heretaunga/Silverstream,Kilbirnie/Lyall Bay,9.0
Heretaunga/Silverstream,Kingston/Happy Valley,9.0
Heretaunga/Silverstream,Lambton,7.82
Heretaunga/Silverstream,Masterton,
Heretaunga/Silverstream,Miramar/Strathmore,10.56
Heretaunga/Silverstream,Moera/Waiwhetu,5.48
Heretaunga/Silverstream,Mt Cook,9.0
Heretaunga/Silverstream,Mt Victoria/Roseneath,7.82
Heretaunga/Silverstream,Ngaio/Kaiwharawhara/Wilton,10.17
Heretaunga/Silverstream,Northland,9.0
Heretaunga/Silverstream,Oriental Bay/Seatoun,10.56
Heretaunga/Silverstream,Papakowhai/Whitby/Pauatahanui,8.61
Heretaunga/Silverstream,Paramata/Mana/Pukerua Bay,12.52
Heretaunga/Silverstream,Paraparaumu/Raumati,16.82
Heretaunga/Silverstream,Petone West/Alicetown,5.48
Heretaunga/Silverstream,Petone/Esplanade,3.91
Heretaunga/Silverstream,Porirua East/Waitangirua,12.91
Heretaunga/Silverstream,Stokes Valley,3.13
Heretaunga/Silverstream,Taita/Naenae,4.3
Heretaunga/Silverstream,Tawa/Grenada North,10.56
Heretaunga/Silverstream,Te Aro,7.82
Heretaunga/Silverstream,Titahi Bay/Onepoto/Elsdon,9.78
Heretaunga/Silverstream,Totara Park/Maoribank/Te Marua,2.74
Heretaunga/Silverstream,Trentham North/Wallaceville,2.74
Heretaunga/Silverstream,Trentham West/Eldersley/Clouston Park,2.74
Heretaunga/Silverstream,Vogeltown/Berhampore/Newtown,9.0
Heretaunga/Silverstream,Wadestown/Thordon,6.26
Heretaunga/Silverstream,Waikanae/Otaki,
Heretaunga/Silverstream,Wainuiomata,6.65
Heretaunga/Silverstream,Western Hills/Haywards,7.04
Hutt Central/Waterloo,Brooklyn,7.04
Hutt Central/Waterloo,Carterton/South Wairarapa,
Hutt Central/Waterloo,Eastern Bays,3.91
Hutt Central/Waterloo,Epuni/Avalon,2.74
Hutt Central/Waterloo,Hataitai,7.04
Hutt Central/Waterloo,Heretaunga/Silverstream,3.91
Hutt Central/Waterloo,Island Bay/Melrose,8.22
Hutt Central/Waterloo,Johnsonville/Newlands,8.22
Hutt Central/Waterloo,Karori,8.22
Hutt Central/Waterloo,Karori South/Makara,10.95
Hutt Central/Waterloo,Kelburn/Aro Valley,7.04
Hutt Central/Waterloo,Khandallah,8.22
Hutt Central/Waterloo,Kilbirnie/Lyall Bay,8.22
Hutt Central/Waterloo,Kingston/Happy Valley,7.04
Hutt Central/Waterloo,Lambton,4.3
Hutt Central/Waterloo,Masterton,
Hutt Central/Waterloo,Miramar/Strathmore,8.22
Hutt Central/Waterloo,Moera/Waiwhetu,1.56
Hutt Central/Waterloo,Mt Cook,7.04
Hutt Central/Waterloo,Mt Victoria/Roseneath,10.56
Hutt Central/Waterloo,Ngaio/Kaiwharawhara/Wilton,8.22
Hutt Central/Waterloo,Northland,7.04
Hutt Central/Waterloo,Oriental Bay/Seatoun,8.22
Hutt Central/Waterloo,Papakowhai/Whitby/Pauatahanui,12.13
Hutt Central/Waterloo,Paramata/Mana/Pukerua Bay,10.56
Hutt Central/Waterloo,Paraparaumu/Raumati,14.87
Hutt Central/Waterloo,Petone West/Alicetown,
Hutt Central/Waterloo,Petone/Esplanade,3.13
Hutt Central/Waterloo,Porirua East/Waitangirua,10.95
Hutt Central/Waterloo,Stokes Valley,3.91
Hutt Central/Waterloo,Taita/Naenae,2.74
Hutt Central/Waterloo,Tawa/Grenada North,12.13
Hutt Central/Waterloo,Te Aro,10.56
Hutt Central/Waterloo,Titahi Bay/Onepoto/Elsdon,12.13
Hutt Central/Waterloo,Totara Park/Maoribank/Te Marua,5.87
Hutt Central/Waterloo,Trentham North/Wallaceville,5.87
Hutt Central/Waterloo,Trentham West/Eldersley/Clouston Park,5.87
Hutt Central/Waterloo,Vogeltown/Berhampore/Newtown,7.04
Hutt Central/Waterloo,Wadestown/Thordon,4.3
Hutt Central/Waterloo,Waikanae/Otaki,
Hutt Central/Waterloo,Wainuiomata,2.74
Hutt Central/Waterloo,Western Hills/Haywards,3.13
Island Bay/Melrose,Brooklyn,2.74
Island Bay/Melrose,Carterton/South Wairarapa,
Island Bay/Melrose,Eastern Bays,10.17
Island Bay/Melrose,Epuni/Avalon,10.56
Island Bay/Melrose,Hataitai,9.39
Island Bay/Melrose,Heretaunga/Silverstream,10.17
Island Bay/Melrose,Hutt Central/Waterloo,8.22
Island Bay/Melrose,Johnsonville/Newlands,9.39
Island Bay/Melrose,Karori,7.82
Island Bay/Melrose,Karori South/Makara,6.65
Island Bay/Melrose,Kelburn/Aro Valley,3.91
Island Bay/Melrose,Khandallah,7.82
Island Bay/Melrose,Kilbirnie/Lyall Bay,1.56
Island Bay/Melrose,Kingston/Happy Valley,2.74
Island Bay/Melrose,Lambton,3.91
Island Bay/Melrose,Masterton,
Island Bay/Melrose,Miramar/Strathmore,5.48
Island Bay/Melrose,Moera/Waiwhetu,8.22
Island Bay/Melrose,Mt Cook,2.74
Island Bay/Melrose,Mt Victoria/Roseneath,3.91
Island Bay/Melrose,Ngaio/Kaiwharawhara/Wilton,7.82
Island Bay/Melrose,Northland,6.65
Island Bay/Melrose,Oriental Bay/Seatoun,5.48
Island Bay/Melrose,Papakowhai/Whitby/Pauatahanui,11.74
Island Bay/Melrose,Paramata/Mana/Pukerua Bay,10.17
Island Bay/Melrose,Paraparaumu/Raumati,14.47
Island Bay/Melrose,Petone West/Alicetown,8.22
Island Bay/Melrose,Petone/Esplanade,8.22
Island Bay/Melrose,Porirua East/Waitangirua,10.56
Island Bay/Melrose,Stokes Valley,12.13
Island Bay/Melrose,Taita/Naenae,9.0
Island Bay/Melrose,Tawa/Grenada North,8.22
Island Bay/Melrose,Te Aro,3.91
Island Bay/Melrose,Titahi Bay/Onepoto/Elsdon,11.74
Island Bay/Melrose,Totara Park/Maoribank/Te Marua,12.52
Island Bay/Melrose,Trentham North/Wallaceville,10.95
Island Bay/Melrose,Trentham West/Eldersley/Clouston Park,10.95
Island Bay/Melrose,Vogeltown/Berhampore/Newtown,2.74
Island Bay/Melrose,Wadestown/Thordon,3.91
Island Bay/Melrose,Waikanae/Otaki,
Island Bay/Melrose,Wainuiomata,10.95
Island Bay/Melrose,Western Hills/Haywards,8.22
Johnsonville/Newlands,Brooklyn,6.65
Johnsonville/Newlands,Carterton/South Wairarapa,
Johnsonville/Newlands,Eastern Bays,5.87
Johnsonville/Newlands,Epuni/Avalon,8.22
Johnsonville/Newlands,Hataitai,8.22
Johnsonville/Newlands,Heretaunga/Silverstream,7.82
Johnsonville/Newlands,Hutt Central/Waterloo,5.87
Johnsonville/Newlands,Island Bay/Melrose,7.82
Johnsonville/Newlands,Karori,7.82
Johnsonville/Newlands,Karori South/Makara,2.74
Johnsonville/Newlands,Kelburn/Aro Valley,6.65
Johnsonville/Newlands,Khandallah,1.56
Johnsonville/Newlands,Kilbirnie/Lyall Bay,9.39
Johnsonville/Newlands,Kingston/Happy Valley,8.22
Johnsonville/Newlands,Lambton,5.48
Johnsonville/Newlands,Masterton,
Johnsonville/Newlands,Miramar/Strathmore,9.39
Johnsonville/Newlands,Moera/Waiwhetu,5.87
Johnsonville/Newlands,Mt Cook,6.65
Johnsonville/Newlands,Mt Victoria/Roseneath,5.48
Johnsonville/Newlands,Ngaio/Kaiwharawhara/Wilton,1.56
Johnsonville/Newlands,Northland,6.65
Johnsonville/Newlands,Oriental Bay/Seatoun,9.39
Johnsonville/Newlands,Papakowhai/Whitby/Pauatahanui,6.65
Johnsonville/Newlands,Paramata/Mana/Pukerua Bay,6.65
Johnsonville/Newlands,Paraparaumu/Raumati,10.56
Johnsonville/Newlands,Petone West/Alicetown,5.87
Johnsonville/Newlands,Petone/Esplanade,4.3
Johnsonville/Newlands,Porirua East/Waitangirua,5.48
Johnsonville/Newlands,Stokes Valley,9.39
Johnsonville/Newlands,Taita/Naenae,6.65
Johnsonville/Newlands,Tawa/Grenada North,2.74
Johnsonville/Newlands,Te Aro,5.48
Johnsonville/Newlands,Titahi Bay/Onepoto/Elsdon,4.3
Johnsonville/Newlands,Totara Park/Maoribank/Te Marua,10.17
Johnsonville/Newlands,Trentham North/Wallaceville,8.61
Johnsonville/Newlands,Trentham West/Eldersley/Clouston Park,8.61
Johnsonville/Newlands,Vogeltown/Berhampore/Newtown,6.65
Johnsonville/Newlands,Wadestown/Thordon,3.91
Johnsonville/Newlands,Waikanae/Otaki,
Johnsonville/Newlands,Wainuiomata,8.61
Johnsonville/Newlands,Western Hills/Haywards,7.43
Karori,Brooklyn,6.65
Karori,Carterton/South Wairarapa,
Karori,Eastern Bays,12.52
Karori,Epuni/Avalon,10.95
Karori,Hataitai,6.65
Karori,Heretaunga/Silverstream,14.08
Karori,Hutt Central/Waterloo,8.22
Karori,Island Bay/Melrose,7.82
Karori,Johnsonville/Newlands,7.82
Karori,Karori South/Makara,4.69
Karori,Kelburn/Aro Valley,2.74
Karori,Khandallah,7.82
Karori,Kilbirnie/Lyall Bay,7.82
Karori,Kingston/Happy Valley,6.65
Karori,Lambton,3.91
Karori,Masterton,
Karori,Miramar/Strathmore,7.82
Karori,Moera/Waiwhetu,8.22
Karori,Mt Cook,6.65
Karori,Mt Victoria/Roseneath,3.91
Karori,Ngaio/Kaiwharawhara/Wilton,7.82
Karori,Northland,1.56
Karori,Oriental Bay/Seatoun,7.82
Karori,Papakowhai/Whitby/Pauatahanui,11.74
Karori,Paramata/Mana/Pukerua Bay,10.17
Karori,Paraparaumu/Raumati,14.47
Karori,Petone West/Alicetown,8.22
Karori,Petone/Esplanade,8.22
Karori,Porirua East/Waitangirua,10.56
Karori,Stokes Valley,12.13
Karori,Taita/Naenae,10.95
Karori,Tawa/Grenada North,8.22
Karori,Te Aro,3.91
Karori,Titahi Bay/Onepoto/Elsdon,11.74
Karori,Totara Park/Maoribank/Te Marua,12.52
Karori,Trentham North/Wallaceville,12.52
Karori,Trentham West/Eldersley/Clouston Park,10.95
Karori,Vogeltown/Berhampore/Newtown,6.65
Karori,Wadestown/Thordon,3.91
Karori,Waikanae/Otaki,
Karori,Wainuiomata,10.95
Karori,Western Hills/Haywards,8.22
Karori South/Makara,Brooklyn,5.48
Karori South/Makara,Carterton/South Wairarapa,
Karori South/Makara,Eastern Bays,11.34
Karori South/Makara,Epuni/Avalon,9.39
Karori South/Makara,Hataitai,5.48
Karori South/Makara,Heretaunga/Silverstream,9.0
Karori South/Makara,Hutt Central/Waterloo,7.04
Karori South/Makara,Island Bay/Melrose,6.65
Karori South/Makara,Johnsonville/Newlands,6.65
Karori South/Makara,Karori,3.13
Karori South/Makara,Kelburn/Aro Valley,1.56
Karori South/Makara,Khandallah,5.48
Karori South/Makara,Kilbirnie/Lyall Bay,6.65
Karori South/Makara,Kingston/Happy Valley,5.48
Karori South/Makara,Lambton,2.74
Karori South/Makara,Masterton,
Karori South/Makara,Miramar/Strathmore,7.04
Karori South/Makara,Moera/Waiwhetu,7.04
Karori South/Makara,Mt Cook,5.48
Karori South/Makara,Mt Victoria/Roseneath,2.74
Karori South/Makara,Ngaio/Kaiwharawhara/Wilton,1.56
Karori South/Makara,Northland,1.56
Karori South/Makara,Oriental Bay/Seatoun,7.04
Karori South/Makara,Papakowhai/Whitby/Pauatahanui,10.56
Karori South/Makara,Paramata/Mana/Pukerua Bay,9.0
Karori South/Makara,Paraparaumu/Raumati,13.3
Karori South/Makara,Petone West/Alicetown,7.04
Karori South/Makara,Petone/Esplanade,9.78
Karori South/Makara,Porirua East/Waitangirua,9.39
Karori South/Makara,Stokes Valley,10.95
Karori South/Makara,Taita/Naenae,7.82
Karori South/Makara,Tawa/Grenada North,7.04
Karori South/Makara,Te Aro,4.3
Karori South/Makara,Titahi Bay/Onepoto/Elsdon,10.56
Karori South/Makara,Totara Park/Maoribank/Te Marua,11.34
Karori South/Makara,Trentham North/Wallaceville,9.78
Karori South/Makara,Trentham West/Eldersley/Clouston Park,9.78
Karori South/Makara,Vogeltown/Berhampore/Newtown,3.91
Karori South/Makara,Wadestown/Thordon,1.56
Karori South/Makara,Waikanae/Otaki,
Karori South/Makara,Wainuiomata,9.78
Karori South/Makara,Western Hills/Haywards,7.04
Kelburn/Aro Valley,Brooklyn,2.74
Kelburn/Aro Valley,Carterton/South Wairarapa,
Kelburn/Aro Valley,Eastern Bays,11.34
Kelburn/Aro Valley,Epuni/Avalon,9.39
Kelburn/Aro Valley,Hataitai,2.74
Kelburn/Aro Valley,Heretaunga/Silverstream,9.0
Kelburn/Aro Valley,Hutt Central/Waterloo,7.04
Kelburn/Aro Valley,Island Bay/Melrose,6.65
Kelburn/Aro Valley,Johnsonville/Newlands,4.3
Kelburn/Aro Valley,Karori,2.74
Kelburn/Aro Valley,Karori South/Makara,1.56
Kelburn/Aro Valley,Khandallah,2.74
